Date,Stock,Price
2024-05-21T00:00:00,VHM,40.2
2024-05-21T00:00:00,VIB,22.6
2024-05-21T00:00:00,VIC,46.45
2024-05-21T00:00:00,VNM,66.2
2024-05-21T00:00:00,VPB,18.8001
2024-05-21T00:00:00,VRE,23.15
2024-05-20T00:00:00,VN30,1312.55
2024-05-20T00:00:00,ACB,23.73
2024-05-20T00:00:00,FPT,114.8588
2024-05-20T00:00:00,HDB,24.85
2024-05-20T00:00:00,HPG,29.0912
2024-05-20T00:00:00,MBB,22.94348
2024-05-20T00:00:00,MSN,76.4
2024-05-20T00:00:00,MWG,60
2024-05-20T00:00:00,POW,11.35
2024-05-20T00:00:00,SHB,11.85
2024-05-20T00:00:00,STB,28.3
2024-05-20T00:00:00,TCB,24.09953
2024-05-20T00:00:00,TPB,17.95185
2024-05-20T00:00:00,VHM,40.45
2024-05-20T00:00:00,VIB,22.5
2024-05-20T00:00:00,VIC,46.7
2024-05-20T00:00:00,VNM,66.4
2024-05-20T00:00:00,VPB,18.8001
2024-05-20T00:00:00,VRE,22.85
2024-05-17T00:00:00,VN30,1310.15
2024-05-17T00:00:00,ACB,23.73
2024-05-17T00:00:00,FPT,116.1542
2024-05-17T00:00:00,HDB,24.3
2024-05-17T00:00:00,HPG,28.72756
2024-05-17T00:00:00,MBB,22.7478
2024-05-17T00:00:00,MSN,75.5
2024-05-17T00:00:00,MWG,59.6
2024-05-17T00:00:00,POW,11.25
2024-05-17T00:00:00,SHB,12
2024-05-17T00:00:00,STB,28.5
2024-05-17T00:00:00,TCB,24.123775
2024-05-17T00:00:00,TPB,17.9032
2024-05-17T00:00:00,VHM,40.85
2024-05-17T00:00:00,VIB,22.3
2024-05-17T00:00:00,VIC,46.85
2024-05-17T00:00:00,VNM,67
2024-05-17T00:00:00,VPB,18.4203
2024-05-17T00:00:00,VRE,23.1
2024-05-16T00:00:00,VN30,1308.27
2024-05-16T00:00:00,ACB,23.73
2024-05-16T00:00:00,FPT,116.93144
2024-05-16T00:00:00,HDB,24.2
2024-05-16T00:00:00,HPG,28.72756
2024-05-16T00:00:00,MBB,22.89456
2024-05-16T00:00:00,MSN,72.4
2024-05-16T00:00:00,MWG,59.9
2024-05-16T00:00:00,POW,11.15
2024-05-16T00:00:00,SHB,11.85
2024-05-16T00:00:00,STB,28.4
2024-05-16T00:00:00,TCB,24.19651
2024-05-16T00:00:00,TPB,17.85455
2024-05-16T00:00:00,VHM,40.25
2024-05-16T00:00:00,VIB,22.3
2024-05-16T00:00:00,VIC,46.75
2024-05-16T00:00:00,VNM,67.2
2024-05-16T00:00:00,VPB,18.4203
2024-05-16T00:00:00,VRE,22.65
2024-05-15T00:00:00,VN30,1289.97
2024-05-15T00:00:00,ACB,23.268
2024-05-15T00:00:00,FPT,115.80876
2024-05-15T00:00:00,HDB,23.5
2024-05-15T00:00:00,HPG,28.36392
2024-05-15T00:00:00,MBB,22.40536
2024-05-15T00:00:00,MSN,72.2
2024-05-15T00:00:00,MWG,60.8
2024-05-15T00:00:00,POW,11
2024-05-15T00:00:00,SHB,11.6
2024-05-15T00:00:00,STB,27.8
2024-05-15T00:00:00,TCB,23.32369
2024-05-15T00:00:00,TPB,17.46535
2024-05-15T00:00:00,VHM,40.25
2024-05-15T00:00:00,VIB,21.85
2024-05-15T00:00:00,VIC,46.35
2024-05-15T00:00:00,VNM,67
2024-05-15T00:00:00,VPB,18.087975
2024-05-15T00:00:00,VRE,22.35
2024-05-14T00:00:00,VN30,1277.31
2024-05-14T00:00:00,ACB,23.31
2024-05-14T00:00:00,FPT,112.6998
2024-05-14T00:00:00,HDB,23.3
2024-05-14T00:00:00,HPG,27.45482
2024-05-14T00:00:00,MBB,22.35644
2024-05-14T00:00:00,MSN,70.6
2024-05-14T00:00:00,MWG,60.1
2024-05-14T00:00:00,POW,10.95
2024-05-14T00:00:00,SHB,11.6
2024-05-14T00:00:00,STB,27.25
2024-05-14T00:00:00,TCB,23.22671
2024-05-14T00:00:00,TPB,17.514
2024-05-14T00:00:00,VHM,40.15
2024-05-14T00:00:00,VIB,21.75
2024-05-14T00:00:00,VIC,46.05
2024-05-14T00:00:00,VNM,66.5
2024-05-14T00:00:00,VPB,18.13545
2024-05-14T00:00:00,VRE,22.25
2024-05-13T00:00:00,VN30,1272.53
2024-05-13T00:00:00,ACB,23.268
2024-05-13T00:00:00,FPT,112.00892
2024-05-13T00:00:00,HDB,23.25
2024-05-13T00:00:00,HPG,27.45482
2024-05-13T00:00:00,MBB,22.16076
2024-05-13T00:00:00,MSN,70.8
2024-05-13T00:00:00,MWG,58.3
2024-05-13T00:00:00,POW,11
2024-05-13T00:00:00,SHB,11.65
2024-05-13T00:00:00,STB,27.25
2024-05-13T00:00:00,TCB,23.46916
2024-05-13T00:00:00,TPB,17.514
2024-05-13T00:00:00,VHM,40.1
2024-05-13T00:00:00,VIB,21.35
2024-05-13T00:00:00,VIC,45
2024-05-13T00:00:00,VNM,65.8
2024-05-13T00:00:00,VPB,17.8506
2024-05-13T00:00:00,VRE,22.25
2024-05-10T00:00:00,VN30,1277.47
2024-05-10T00:00:00,ACB,23.268
2024-05-10T00:00:00,FPT,113.1316
2024-05-10T00:00:00,HDB,23.7
2024-05-10T00:00:00,HPG,27.682095
2024-05-10T00:00:00,MBB,22.11184
2024-05-10T00:00:00,MSN,70.8
2024-05-10T00:00:00,MWG,58.9
2024-05-10T00:00:00,POW,10.95
2024-05-10T00:00:00,SHB,11.6
2024-05-10T00:00:00,STB,27.6
2024-05-10T00:00:00,TCB,23.51765
2024-05-10T00:00:00,TPB,17.6113
2024-05-10T00:00:00,VHM,40.35
2024-05-10T00:00:00,VIB,21.55
2024-05-10T00:00:00,VIC,45
2024-05-10T00:00:00,VNM,66.5
2024-05-10T00:00:00,VPB,17.56575
2024-05-10T00:00:00,VRE,22.5
2024-05-09T00:00:00,VN30,1281.47
2024-05-09T00:00:00,ACB,23.184
2024-05-09T00:00:00,FPT,112.52708
2024-05-09T00:00:00,HDB,23.7
2024-05-09T00:00:00,HPG,27.682095
2024-05-09T00:00:00,MBB,22.16076
2024-05-09T00:00:00,MSN,71.4
2024-05-09T00:00:00,MWG,58.9
2024-05-09T00:00:00,POW,11.1
2024-05-09T00:00:00,SHB,11.75
2024-05-09T00:00:00,STB,27.8
2024-05-09T00:00:00,TCB,23.493405
2024-05-09T00:00:00,TPB,17.65995
2024-05-09T00:00:00,VHM,40.95
2024-05-09T00:00:00,VIB,21.6
2024-05-09T00:00:00,VIC,45.4
2024-05-09T00:00:00,VNM,66.6
2024-05-09T00:00:00,VPB,17.803125
2024-05-09T00:00:00,VRE,22.85
2024-05-08T00:00:00,VN30,1284.85
2024-05-08T00:00:00,ACB,23.142
2024-05-08T00:00:00,FPT,113.1316
2024-05-08T00:00:00,HDB,24.1
2024-05-08T00:00:00,HPG,27.90937
2024-05-08T00:00:00,MBB,22.06292
2024-05-08T00:00:00,MSN,72.3
2024-05-08T00:00:00,MWG,59.1
2024-05-08T00:00:00,POW,11.15
2024-05-08T00:00:00,SHB,11.9
2024-05-08T00:00:00,STB,27.95
2024-05-08T00:00:00,TCB,23.37218
2024-05-08T00:00:00,TPB,17.27075
2024-05-08T00:00:00,VHM,40.9
2024-05-08T00:00:00,VIB,21.55
2024-05-08T00:00:00,VIC,45.4
2024-05-08T00:00:00,VNM,67.9
2024-05-08T00:00:00,VPB,17.613225
2024-05-08T00:00:00,VRE,23.2
2024-05-07T00:00:00,VN30,1284.85
2024-05-07T00:00:00,ACB,23.226
