VN30,ACB,FPT,HDB,HPG,MBB,MSN,MWG,POW,SHB,STB,TCB,TPB,VHM,VIB,VIC,VNM,VPB,VRE
"1,212.70",23.52,90.59164,23.55,25.591165,22.9924,64.9,46.6,11.35,11.65,31.1,18.08677,18.0005,41.8,21.07504,42.4,66.73472,18.6102,21.9
"1,199.17",23.394,89.90076,23,25.500255,22.55212,64.8,47,11.35,11.55,30.8,17.286685,17.6113,41,20.78368,42.3,66.73472,18.32535,21.7
"1,197.36",23.352,89.3826,22.65,25.4548,22.45428,64.9,47.4,11.25,11.75,30.6,17.21395,17.65995,41.25,20.58944,42.2,67.1296,18.2304,21.8
"1,174.76",22.05,88.0872,22.35,25.36389,21.2802,65.4,47.4,11.3,11.45,29.9,16.559335,17.0275,41.2,19.6668,42.1,66.53728,17.8506,22.3
"1,173.35",21.84,86.27364,21.8,25.318435,21.42696,65.1,46.2,11.35,11.6,29.8,16.559335,17.36805,41.2,20.05528,42.35,66.636,18.182925,22.65
"1,166.33",21.63,82.64652,21.8,25.227525,21.2802,64.4,45,11.35,11.6,29.9,16.753295,17.36805,41.5,20.1524,42.5,66.1424,18.4203,22.45
"1,181.71",21.798,82.56016,21.85,25.4548,21.62264,66.1,45.4,11.5,12.3,30.7,17.06848,17.8059,42,20.29808,42.7,66.04368,18.70515,23.4
"1,179.17",21.798,82.81924,21.4,25.4548,21.67156,65.6,44.6,11.4,12.3,30.35,17.092725,17.65995,41.8,20.20096,42.65,66.1424,18.752625,23.3
"1,182.82",22.092,82.81924,21.3,25.772985,21.5248,65.8,44.9,11.4,12.35,30.3,17.16546,17.8059,42,20.20096,42.8,66.1424,18.752625,23.75
"1,177.52",21.672,82.12836,21.05,25.682075,21.42696,66.8,45.2,11.45,12.25,30.5,16.9715,17.65995,42.1,20.00672,42.8,66.04368,18.657675,23.8
"1,179.45",21.672,82.042,21.15,25.682075,21.42696,66.2,44.4,11.4,12.2,30.75,17.092725,17.8059,42.5,20.24952,43.15,66.43856,18.657675,23.95
"1,183.85",21.882,82.56016,21,25.772985,21.47588,67.5,45.4,11.45,12.1,30.5,17.189705,18.0978,42.35,20.34664,43.1,66.83344,18.70515,23.75
